2025-04-05 21:52:35,507 - INFO - Current script path: d:\Projects\RL_course\homework1\train.py
2025-04-05 21:52:37,254 - INFO - Starting training with config: {'env': {'name': 'Curling', 'r': 1.0, 'm': 1.0, 'h': 100.0, 'w': 100.0, 'rebound_coefficient': 0.9, 'initial_speed_range': [-10, 10], 'dt': 0.01, 'max_steps': 3000, 'num_steps_per_step': 10, 'initial_act_interval': 1, 'act_interval_decay': 1, 'final_act_interval': 1, 'normalize': False}, 'agent': {'name': 'DQN', 'gamma': 1, 'epsilon': 0.9, 'epsilon_decay': 0.975, 'epsilon_decay_steps': 1, 'epsilon_min': 0.01, 'learning_rate': 0.001, 'learning_rate_decay': 0.95, 'learning_rate_decay_steps': 10, 'learning_rate_min': 5e-06, 'input_dim': 6, 'output_dim': 4, 'actions': [[5, 0], [0, 5], [-5, 0], [0, -5]], 'hidden_dims': [128, 128], 'target_update_interval': 500, 'device': 'cuda', 'input_encoding': False, 'input_encoding_dim': 0}, 'training': {'mode': 'off-policy', 'seed': 1, 'num_episodes': 200, 'batch_size': 4096, 'min_buffer_size': 10240, 'buffer_size': 102400, 'train_interval_steps': 1, 'save_interval': 50, 'log_interval': 1, 'checkpoint_path': './checkpoints/curling/dqn', 'log_path': './logs/curling/dqn'}}
2025-04-05 21:52:38,019 - INFO - Checkpoint save path: D:\Projects\RL_course\homework1\checkpoints\curling\dqn\Curling_DQN_20250405_215238
2025-04-05 21:52:38,019 - INFO - Training started.
2025-04-05 21:52:38,174 - INFO - Episode 1/200: Total Reward: -8646.4369, Avg Loss: 0.0000, Epsilon: 0.9000, Lr: 0.001000, Act Interval: 1
2025-04-05 21:52:38,266 - INFO - Episode 2/200: Total Reward: -6703.3078, Avg Loss: 0.0000, Epsilon: 0.8775, Lr: 0.001000, Act Interval: 1
2025-04-05 21:52:38,357 - INFO - Episode 3/200: Total Reward: -23113.6666, Avg Loss: 0.0000, Epsilon: 0.8556, Lr: 0.001000, Act Interval: 1
2025-04-05 21:52:38,447 - INFO - Episode 4/200: Total Reward: -18961.1038, Avg Loss: 0.0000, Epsilon: 0.8342, Lr: 0.001000, Act Interval: 1
2025-04-05 21:52:38,538 - INFO - Episode 5/200: Total Reward: -22920.6905, Avg Loss: 0.0000, Epsilon: 0.8133, Lr: 0.001000, Act Interval: 1
2025-04-05 21:52:38,628 - INFO - Episode 6/200: Total Reward: -13350.8877, Avg Loss: 0.0000, Epsilon: 0.7930, Lr: 0.001000, Act Interval: 1
2025-04-05 21:52:38,717 - INFO - Episode 7/200: Total Reward: -7176.4514, Avg Loss: 0.0000, Epsilon: 0.7732, Lr: 0.001000, Act Interval: 1
2025-04-05 21:52:38,809 - INFO - Episode 8/200: Total Reward: -11405.5993, Avg Loss: 0.0000, Epsilon: 0.7538, Lr: 0.001000, Act Interval: 1
2025-04-05 21:52:38,899 - INFO - Episode 9/200: Total Reward: -10487.6354, Avg Loss: 0.0000, Epsilon: 0.7350, Lr: 0.001000, Act Interval: 1
2025-04-05 21:52:39,003 - INFO - Episode 10/200: Total Reward: -18501.7423, Avg Loss: 0.0000, Epsilon: 0.7166, Lr: 0.001000, Act Interval: 1
2025-04-05 21:52:39,093 - INFO - Episode 11/200: Total Reward: -18912.5457, Avg Loss: 0.0000, Epsilon: 0.6987, Lr: 0.000950, Act Interval: 1
