2025-03-28 23:06:47,894 - INFO - Current script path: d:\Projects\RL_course\homework1\train.py
2025-03-28 23:06:47,894 - INFO - Starting training with config: {'env': {'name': 'Pendulum', 'm': 0.055, 'g': 9.81, 'l': 0.042, 'J': 0.000191, 'b': 3e-06, 'K': 0.0536, 'R': 9.5, 'max_voltage': 3, 'max_speed': 47.12388980384689, 'Ts': 0.005, 'max_steps': 500, 'initial_act_interval': 20, 'act_interval_decay': 0.98, 'final_act_interval': 1}, 'agent': {'name': 'DQN', 'gamma': 0.98, 'epsilon': 0.9, 'epsilon_decay': 0.9, 'epsilon_decay_steps': 1, 'epsilon_min': 0.0001, 'learning_rate': 0.001, 'learning_rate_decay': 0.95, 'learning_rate_decay_steps': 10, 'learning_rate_min': 5e-06, 'input_dim': 2, 'output_dim': 3, 'hidden_dims': [128, 128], 'target_update_interval': 20, 'device': 'cuda', 'actions': [-3, 0, 3]}, 'training': {'seed': 1, 'num_episodes': 200, 'batch_size': 4096, 'min_buffer_size': 10240, 'buffer_size': 102400, 'train_interval_steps': 10, 'save_interval': 50, 'log_interval': 1, 'checkpoint_path': './checkpoints', 'log_path': './logs'}}
2025-03-28 23:06:48,620 - INFO - Checkpoint save path: D:\Projects\RL_course\homework1\checkpoints\Pendulum_DQN_20250328_230648
2025-03-28 23:06:48,620 - INFO - Training started.
2025-03-28 23:06:48,698 - INFO - Episode 1/200: Total Reward: -12.8111, Avg Loss: 0.0000, Epsilon: 0.9000, Lr: 0.001000, Act Interval: 20
2025-03-28 23:06:48,708 - INFO - Episode 2/200: Total Reward: -0.3925, Avg Loss: 0.0000, Epsilon: 0.8100, Lr: 0.001000, Act Interval: 20
2025-03-28 23:06:48,720 - INFO - Episode 3/200: Total Reward: -20.8115, Avg Loss: 0.0000, Epsilon: 0.7290, Lr: 0.001000, Act Interval: 19
2025-03-28 23:06:48,730 - INFO - Episode 4/200: Total Reward: -28.3669, Avg Loss: 0.0000, Epsilon: 0.6561, Lr: 0.001000, Act Interval: 19
2025-03-28 23:06:48,741 - INFO - Episode 5/200: Total Reward: -15.0148, Avg Loss: 0.0000, Epsilon: 0.5905, Lr: 0.001000, Act Interval: 18
2025-03-28 23:06:48,751 - INFO - Episode 6/200: Total Reward: -31.0400, Avg Loss: 0.0000, Epsilon: 0.5314, Lr: 0.001000, Act Interval: 18
2025-03-28 23:06:48,761 - INFO - Episode 7/200: Total Reward: -28.8629, Avg Loss: 0.0000, Epsilon: 0.4783, Lr: 0.001000, Act Interval: 18
2025-03-28 23:06:48,772 - INFO - Episode 8/200: Total Reward: -31.4096, Avg Loss: 0.0000, Epsilon: 0.4305, Lr: 0.001000, Act Interval: 17
2025-03-28 23:06:48,783 - INFO - Episode 9/200: Total Reward: -34.1656, Avg Loss: 0.0000, Epsilon: 0.3874, Lr: 0.001000, Act Interval: 17
2025-03-28 23:06:48,793 - INFO - Episode 10/200: Total Reward: -34.0592, Avg Loss: 0.0000, Epsilon: 0.3487, Lr: 0.001000, Act Interval: 17
2025-03-28 23:06:48,806 - INFO - Episode 11/200: Total Reward: -25.8217, Avg Loss: 0.0000, Epsilon: 0.3138, Lr: 0.000950, Act Interval: 16
2025-03-28 23:06:48,815 - INFO - Episode 12/200: Total Reward: -24.5244, Avg Loss: 0.0000, Epsilon: 0.2824, Lr: 0.000950, Act Interval: 16
2025-03-28 23:06:48,828 - INFO - Episode 13/200: Total Reward: -34.0200, Avg Loss: 0.0000, Epsilon: 0.2542, Lr: 0.000950, Act Interval: 16
2025-03-28 23:06:48,839 - INFO - Episode 14/200: Total Reward: -36.5274, Avg Loss: 0.0000, Epsilon: 0.2288, Lr: 0.000950, Act Interval: 15
2025-03-28 23:06:48,851 - INFO - Episode 15/200: Total Reward: -30.5288, Avg Loss: 0.0000, Epsilon: 0.2059, Lr: 0.000950, Act Interval: 15
